 Sample Id,Peak Number,                             Description,               Start Time,  End Time,     Max 12CO2 (ppm),      12CO2 Integral,      13CO2 Integral,          Delta CRDS,      12CO2 Baseline,      13CO2 Baseline,           Threshold,Number of data points,Time interval (seconds)
,,,,,,,,,,,,,
1,1,                                        ,      2024/06/10 13:05:09,10.6.2024 13:12,2367.473,425710.847,4757.613,-6.268,2.082,0.056,70,390,418.399
,,,,,,,,,,,,,
2,1,                                        ,      2024/06/10 13:20:40,10.6.2024 13:28,3064.972,567097.8,6335.835,-6.768,2.977,0.066,70,417,446.752
,,,,,,,,,,,,,
3,1,                                        ,      2024/06/10 13:36:10,10.6.2024 13:43,3248.725,602641.567,6734.104,-6.594,3.505,0.073,70,419,449.66
,,,,,,,,,,,,,
4,1,                                        ,      2024/06/10 13:51:41,10.6.2024 13:59,3491.171,651529.838,7141.289,-25.383,3.703,0.075,70,428,458.739
,,,,,,,,,,,,,
5,1,                                        ,      2024/06/10 14:07:10,10.6.2024 14:14,3552.817,675421.908,7394.678,-26.564,4.029,0.077,70,436,466.34
,,,,,,,,,,,,,
6,1,                                        ,      2024/06/10 14:22:43,10.6.2024 14:30,3303.881,613030.151,6726.178,-24.452,4.175,0.079,70,422,452.038
,,,,,,,,,,,,,
7,1,                                        ,      2024/06/10 14:38:14,10.6.2024 14:45,3454.983,644009.09,7064.127,-24.776,4.057,0.077,70,425,455.774
,,,,,,,,,,,,,
8,1,                                        ,      2024/06/10 14:53:42,10.6.2024 15:01,3704.522,691807.31,7583.395,-25.386,4.067,0.078,70,431,462.294
,,,,,,,,,,,,,
9,1,                                        ,      2024/06/10 15:09:14,10.6.2024 15:16,3435.093,637231.014,6988.833,-24.893,4.249,0.079,70,425,456.243
,,,,,,,,,,,,,
10,1,                                        ,      2024/06/10 15:24:49,10.6.2024 15:32,3306.667,634289.149,6945.143,-26.395,4.24,0.08,70,434,465.303
,,,,,,,,,,,,,
11,1,                                        ,      2024/06/10 15:40:17,10.6.2024 15:47,3361.454,626345.289,6864.974,-25.47,4.482,0.083,70,427,457.829
,,,,,,,,,,,,,
12,1,                                        ,      2024/06/10 15:55:47,10.6.2024 16:03,3483.99,646428.392,7085.354,-25.517,5.065,0.088,70,425,455.288
,,,,,,,,,,,,,
13,1,                                        ,      2024/06/10 16:11:18,10.6.2024 16:18,3647.596,679980.054,7600.552,-6.478,4.198,0.079,70,428,459.479
,,,,,,,,,,,,,
14,1,                                        ,      2024/06/10 16:26:49,10.6.2024 16:34,3720.988,695375.719,7621.532,-25.505,4.181,0.08,70,431,461.973
,,,,,,,,,,,,,
15,1,                                        ,      2024/06/10 16:42:19,10.6.2024 16:50,3638.997,679093.979,7449.461,-24.662,4.215,0.08,70,431,462.724
,,,,,,,,,,,,,
16,1,                                        ,      2024/06/10 16:57:57,10.6.2024 17:05,3473.712,681676.577,7470.924,-25.558,4.38,0.081,70,444,475.424
,,,,,,,,,,,,,
17,1,                                        ,      2024/06/10 17:13:18,10.6.2024 17:21,4252.896,802934.28,8938.907,-10.479,4.563,0.084,70,444,475.564
,,,,,,,,,,,,,
18,1,                                        ,      2024/06/10 17:28:51,10.6.2024 17:36,3753.923,700882.869,7803.632,-10.277,4.688,0.085,70,433,463.118
,,,,,,,,,,,,,
19,1,                                        ,      2024/06/10 17:44:22,10.6.2024 17:52,4039.119,759859.6,8472.667,-8.977,4.528,0.082,70,437,468.413
,,,,,,,,,,,,,
20,1,                                        ,      2024/06/10 17:59:52,10.6.2024 18:07,3842.758,720807.057,8033.537,-9.302,4.517,0.084,70,434,465.847
,,,,,,,,,,,,,
21,1,                                        ,      2024/06/10 18:15:25,10.6.2024 18:23,3956.361,742247.776,8272.959,-9.322,4.455,0.082,70,435,466.398
,,,,,,,,,,,,,
22,1,                                        ,      2024/06/10 18:30:55,10.6.2024 18:38,3825.63,715913.109,7975.616,-9.672,4.781,0.087,70,434,465.19
,,,,,,,,,,,,,
23,1,                                        ,      2024/06/10 18:46:21,10.6.2024 18:54,4116.411,763247.894,8502.87,-9.783,4.818,0.087,70,434,465.986
,,,,,,,,,,,,,
24,1,                                        ,      2024/06/10 19:01:58,10.6.2024 19:09,3927.256,736444.652,8205.213,-9.652,4.892,0.087,70,434,466.171
,,,,,,,,,,,,,
25,1,                                        ,      2024/06/10 19:17:32,10.6.2024 19:25,3321.286,642778.66,7183.177,-6.625,4.543,0.083,70,435,466.044
,,,,,,,,,,,,,
26,1,                                        ,      2024/06/10 19:32:56,10.6.2024 19:41,4252.924,813568.748,9066.693,-9.416,4.332,0.082,70,452,485.508
,,,,,,,,,,,,,
27,1,                                        ,      2024/06/10 19:48:35,10.6.2024 19:56,3535.604,694123.808,7729.895,-10.078,8.045,0.122,70,449,481.483
,,,,,,,,,,,,,
28,1,                                        ,      2024/06/10 20:04:03,10.6.2024 20:11,3478.227,678434.897,7570.051,-8.185,6.386,0.103,70,443,475.205
,,,,,,,,,,,,,
