 Sample Id,Peak Number,                             Description,               Start Time,  End Time,     Max 12CO2 (ppm),      12CO2 Integral,      13CO2 Integral,          Delta CRDS,      12CO2 Baseline,      13CO2 Baseline,           Threshold,Number of data points,Time interval (seconds)
         1,         1,                                        ,      2024/07/03 11:04:36,2024/07/03 11:12:50,            2915.843,          560350.144,            6259.660,              -6.743,               1.998,               0.055,              70.000,       461,   494.242
         2,         1,                                        ,      2024/07/03 11:20:01,2024/07/03 11:27:45,            3811.591,          708664.534,            7918.663,              -6.803,              17.034,               0.223,              70.000,       431,   463.462
         3,         1,                                        ,      2024/07/03 11:35:33,2024/07/03 11:43:12,            3626.345,          674690.960,            7539.528,              -6.741,               3.941,               0.076,              70.000,       427,   459.138
         4,         1,                                        ,      2024/07/03 11:51:04,2024/07/03 11:58:42,            3526.403,          653342.882,            7273.750,             -10.310,               3.853,               0.076,              70.000,       427,   457.261
         5,         1,                                        ,      2024/07/03 12:06:36,2024/07/03 12:14:04,            3223.784,          592697.817,            6603.579,              -9.451,               3.870,               0.077,              70.000,       418,   447.916
         6,         1,                                        ,      2024/07/03 12:21:59,2024/07/03 12:29:51,            4433.006,          825669.696,            9198.910,              -9.705,               3.731,               0.075,              70.000,       440,   472.214
         7,         1,                                        ,      2024/07/03 12:37:38,2024/07/03 12:45:17,            3657.659,          677476.876,            7546.867,              -9.734,               4.162,               0.080,              70.000,       428,   458.821
         8,         1,                                        ,      2024/07/03 12:53:11,2024/07/03 13:00:36,            3096.862,          567155.424,            6313.684,             -10.242,               4.076,               0.079,              70.000,       415,   444.481
         9,         1,                                        ,      2024/07/03 13:08:40,2024/07/03 13:16:23,            3841.842,          714636.214,            7956.085,             -10.336,               3.818,               0.076,              70.000,       432,   463.035
        10,         1,                                        ,      2024/07/03 13:24:14,2024/07/03 13:31:41,            3184.711,          586450.420,            6531.408,              -9.846,               4.094,               0.079,              70.000,       416,   446.888
        11,         1,                                        ,      2024/07/03 13:39:43,2024/07/03 13:47:27,            3910.724,          729757.115,            8121.106,             -10.730,               4.045,               0.079,              70.000,       433,   464.211
        12,         1,                                        ,      2024/07/03 13:55:15,2024/07/03 14:02:49,            3425.173,          631468.475,            7034.414,              -9.616,               4.490,               0.084,              70.000,       424,   454.046
        13,         1,                                        ,      2024/07/03 14:10:46,2024/07/03 14:18:41,            4392.841,          828243.510,            9228.393,              -9.680,               4.047,               0.078,              70.000,       443,   475.150
